symbol,company_name,sector,yahoo_symbol,currency
BANCOINDIA,Banco Products (I) Limited,Unclassified,BANCOINDIA.NS,INR
BANDHANBNK,Bandhan Bank Limited,Unclassified,BANDHANBNK.NS,INR
BANG,Bang Overseas Limited,Unclassified,BANG.NS,INR
BANKA,Banka BioLoo Limited,Unclassified,BANKA.NS,INR
BANKBARODA,Bank of Baroda,Unclassified,BANKBARODA.NS,INR
BANKINDIA,Bank of India,Unclassified,BANKINDIA.NS,INR
BANSALWIRE,Bansal Wire Industries Limited,Unclassified,BANSALWIRE.NS,INR
BANSWRAS,Banswara Syntex Limited,Unclassified,BANSWRAS.NS,INR
BASF,BASF India Limited,Unclassified,BASF.NS,INR
BASML,Bannari Amman Spinning Mills Limited,Unclassified,BASML.NS,INR
BATAINDIA,Bata India Limited,Unclassified,BATAINDIA.NS,INR
BAYERCROP,Bayer Cropscience Limited,Unclassified,BAYERCROP.NS,INR
BBL,Bharat Bijlee Limited,Unclassified,BBL.NS,INR
BBOX,Black Box Limited,Unclassified,BBOX.NS,INR
BBTC,The Bombay Burmah Trading Corporation Limited,Unclassified,BBTC.NS,INR
BBTCL,B&B Triplewall Containers Limited,Unclassified,BBTCL.NS,INR
BCG,Brightcom Group Limited,Unclassified,BCG.NS,INR
BCLIND,Bcl Industries Limited,Unclassified,BCLIND.NS,INR
BCONCEPTS,Brand Concepts Limited,Unclassified,BCONCEPTS.NS,INR
BDL,Bharat Dynamics Limited,Unclassified,BDL.NS,INR
BEARDSELL,Beardsell Limited,Unclassified,BEARDSELL.NS,INR
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Unclassified,BECTORFOOD.NS,INR
BEDMUTHA,Bedmutha Industries Limited,Unclassified,BEDMUTHA.NS,INR
BEL,Bharat Electronics Limited,Unclassified,BEL.NS,INR
BELLACASA,Bella Casa Fashion & Retail Limited,Unclassified,BELLACASA.NS,INR
BELRISE,Belrise Industries Limited,Unclassified,BELRISE.NS,INR
BEML,BEML Limited,Unclassified,BEML.NS,INR
BEPL,Bhansali Engineering Polymers Limited,Unclassified,BEPL.NS,INR
BERGEPAINT,Berger Paints (I) Limited,Unclassified,BERGEPAINT.NS,INR
BESTAGRO,Best Agrolife Limited,Unclassified,BESTAGRO.NS,INR
BETA,Beta Drugs Limited,Unclassified,BETA.NS,INR
BFINVEST,BF Investment Limited,Unclassified,BFINVEST.NS,INR
BFUTILITIE,BF Utilities Limited,Unclassified,BFUTILITIE.NS,INR
BGRENERGY,BGR Energy Systems Limited,Unclassified,BGRENERGY.NS,INR
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Unclassified,BHAGCHEM.NS,INR
BHAGERIA,Bhageria Industries Limited,Unclassified,BHAGERIA.NS,INR
BHAGYANGR,Bhagyanagar India Limited,Unclassified,BHAGYANGR.NS,INR
BHANDARI,Bhandari Hosiery Exports Limited,Unclassified,BHANDARI.NS,INR
BHARATCOAL,Bharat Coking Coal Limited,Unclassified,BHARATCOAL.NS,INR
BHARATFORG,Bharat Forge Limited,Unclassified,BHARATFORG.NS,INR
BHARATGEAR,Bharat Gears Limited,Unclassified,BHARATGEAR.NS,INR
BHARATRAS,Bharat Rasayan Limited,Unclassified,BHARATRAS.NS,INR
BHARATSE,Bharat Seats Limited,Unclassified,BHARATSE.NS,INR
BHARATWIRE,Bharat Wire Ropes Limited,Unclassified,BHARATWIRE.NS,INR
BHARTIARTL,Bharti Airtel Limited,Unclassified,BHARTIARTL.NS,INR
BHARTIHEXA,Bharti Hexacom Limited,Unclassified,BHARTIHEXA.NS,INR
BHEL,Bharat Heavy Electricals Limited,Unclassified,BHEL.NS,INR
BIGBLOC,Bigbloc Construction Limited,Unclassified,BIGBLOC.NS,INR
BIKAJI,Bikaji Foods International Limited,Unclassified,BIKAJI.NS,INR
BIL,Bhartiya International Limited,Unclassified,BIL.NS,INR
BILVYAPAR,BIL VYAPAR LIMITED,Unclassified,BILVYAPAR.NS,INR
BIOCON,Biocon Limited,Unclassified,BIOCON.NS,INR
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Unclassified,BIOFILCHEM.NS,INR
BIRLACABLE,Birla Cable Limited,Unclassified,BIRLACABLE.NS,INR
BIRLACORPN,Birla Corporation Limited,Unclassified,BIRLACORPN.NS,INR
BIRLAMONEY,Aditya Birla Money Limited,Unclassified,BIRLAMONEY.NS,INR
BIRLANU,BirlaNu Limited,Unclassified,BIRLANU.NS,INR
BLACKBUCK,BLACKBUCK LIMITED,Unclassified,BLACKBUCK.NS,INR
BLAL,BEML Land Assets Limited,Unclassified,BLAL.NS,INR
BLBLIMITED,BLB Limited,Unclassified,BLBLIMITED.NS,INR
BLISSGVS,Bliss GVS Pharma Limited,Unclassified,BLISSGVS.NS,INR
BLKASHYAP,B. L. Kashyap and Sons Limited,Unclassified,BLKASHYAP.NS,INR
BLS,BLS International Services Limited,Unclassified,BLS.NS,INR
BLSE,BLS E-Services Limited,Unclassified,BLSE.NS,INR
BLUECOAST,Blue Coast Hotels Limited,Unclassified,BLUECOAST.NS,INR
BLUEDART,Blue Dart Express Limited,Unclassified,BLUEDART.NS,INR
BLUEJET,Blue Jet Healthcare Limited,Unclassified,BLUEJET.NS,INR
BLUESTARCO,Blue Star Limited,Unclassified,BLUESTARCO.NS,INR
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Unclassified,BLUESTONE.NS,INR
BLUSPRING,Bluspring Enterprises Limited,Unclassified,BLUSPRING.NS,INR
BMWVENTLTD,BMW Ventures Limited,Unclassified,BMWVENTLTD.NS,INR
BODALCHEM,Bodal Chemicals Limited,Unclassified,BODALCHEM.NS,INR
BOHRAIND,Bohra Industries Limited,Unclassified,BOHRAIND.NS,INR
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Unclassified,BOMDYEING.NS,INR
BONLON,Bonlon Industries Limited,Unclassified,BONLON.NS,INR
BORANA,Borana Weaves Limited,Unclassified,BORANA.NS,INR
BOROLTD,Borosil Limited,Unclassified,BOROLTD.NS,INR
BORORENEW,BOROSIL RENEWABLES LIMITED,Unclassified,BORORENEW.NS,INR
BOROSCI,Borosil Scientific Limited,Unclassified,BOROSCI.NS,INR
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,Unclassified,BOSCH-HCIL.NS,INR
BOSCHLTD,Bosch Limited,Unclassified,BOSCHLTD.NS,INR
BPCL,Bharat Petroleum Corporation Limited,Unclassified,BPCL.NS,INR
BPL,BPL Limited,Unclassified,BPL.NS,INR
BRIGADE,Brigade Enterprises Limited,Unclassified,BRIGADE.NS,INR
BRIGHOTEL,Brigade Hotel Ventures Limited,Unclassified,BRIGHOTEL.NS,INR
BRITANNIA,Britannia Industries Limited,Unclassified,BRITANNIA.NS,INR
BRNL,Bharat Road Network Limited,Unclassified,BRNL.NS,INR
BROOKS,Brooks Laboratories Limited,Unclassified,BROOKS.NS,INR
BSE,BSE Limited,Unclassified,BSE.NS,INR
BSHSL,Bombay Super Hybrid Seeds Limited,Unclassified,BSHSL.NS,INR
BSL,BSL Limited,Unclassified,BSL.NS,INR
BSOFT,BIRLASOFT LIMITED,Unclassified,BSOFT.NS,INR
BTML,Bodhi Tree Multimedia Limited,Unclassified,BTML.NS,INR
BUILDPRO,Shankara Buildpro Limited,Unclassified,BUILDPRO.NS,INR
